industry_sector,Ares Capital Corporation,Main Street Capital Corporation,Total
Software/Technology,12.0193,1.006581,13.025881
Healthcare Services,9.9261,0.654806,10.580906
Financial Services,5.5171,0.510035,6.027135
Other,2.655,3.039748,5.694748
Business Services,1.6226,0.553287,2.175887
Industrial/Manufacturing,0.3835,1.764772,2.148272
Retail,0.1101,0.491391,0.601491
Real Estate,0.2858,0.214074,0.499874
Consumer Products,0.0,0.399269,0.399269
Food & Beverage,0.0601,0.259822,0.319922
Transportation & Logistics,0.3068,0.00552,0.31232000000000004
Energy & Utilities,0.0733,0.182891,0.256191
Media & Entertainment,0.1568,0.022218,0.179018
Education,0.0,0.16845,0.16845
Telecommunications,0.0134,0.09733,0.11073
Hospitality,0.0423,0.00092,0.043219999999999995
